Unix,Date,Symbol,Open,High,Low,Close,Volume,Volume Base Asset,tradecount
1671980400000,2022-12-25 15:00:00,BTCUSDT,16823.5,16850.0,16778.3,16784.1,19676.887,330944847.9601,95889
1671976800000,2022-12-25 14:00:00,BTCUSDT,16804.3,16827.0,16700.0,16823.6,28154.396,472050091.4484,123071
1671973200000,2022-12-25 13:00:00,BTCUSDT,16810.4,16815.0,16790.8,16804.2,6777.45,113870416.3838,30383
1671969600000,2022-12-25 12:00:00,BTCUSDT,16815.0,16816.4,16807.3,16810.4,3961.546,66598393.0879,20549
1671966000000,2022-12-25 11:00:00,BTCUSDT,16817.2,16818.7,16808.0,16814.9,3046.954,51231204.5884,16628
1671962400000,2022-12-25 10:00:00,BTCUSDT,16824.0,16824.1,16813.2,16817.2,2580.224,43394134.2527,14455
1671958800000,2022-12-25 09:00:00,BTCUSDT,16822.0,16828.1,16819.0,16824.0,2369.554,39863900.5908,14413
1671955200000,2022-12-25 08:00:00,BTCUSDT,16816.7,16826.4,16816.6,16822.0,2127.574,35790441.0799,13353
1671951600000,2022-12-25 07:00:00,BTCUSDT,16822.9,16824.0,16812.6,16816.8,1566.9379999999999,26353275.8405,12015
1671948000000,2022-12-25 06:00:00,BTCUSDT,16825.3,16825.3,16810.0,16823.0,2127.16,35773424.4271,15119
1671944400000,2022-12-25 05:00:00,BTCUSDT,16816.1,16826.2,16788.0,16825.2,6884.036,115715922.8757,32216
1671940800000,2022-12-25 04:00:00,BTCUSDT,16824.1,16824.1,16807.9,16816.2,2463.724,41428295.892,16114
1671937200000,2022-12-25 03:00:00,BTCUSDT,16818.4,16830.0,16818.4,16824.0,1489.181,25055223.714,11064
1671933600000,2022-12-25 02:00:00,BTCUSDT,16837.5,16837.6,16815.3,16818.4,2624.447,44154016.4927,15236
1671930000000,2022-12-25 01:00:00,BTCUSDT,16835.1,16844.0,16833.3,16837.6,2313.686,38958732.4077,14018
1671926400000,2022-12-25 00:00:00,BTCUSDT,16829.0,16838.5,16823.1,16835.1,1912.652,32191381.2425,14186
1671922800000,2022-12-24 23:00:00,BTCUSDT,16819.5,16842.2,16803.6,16828.9,3705.887,62350609.5433,23979
1671919200000,2022-12-24 22:00:00,BTCUSDT,16817.0,16828.6,16808.7,16819.4,3099.514,52127300.058,21102
1671915600000,2022-12-24 21:00:00,BTCUSDT,16833.1,16847.1,16815.0,16817.0,4064.8509999999997,68410592.5647,21989
